name;category;short_description;price
KUNGSHAMN;Sofas & armchairs;        Cover for 1-seat module;15.45
STOCKHOLM 2017;Sofas & armchairs;        Three-seat sofa;1400.09
DIHULT;Sofas & armchairs;        Pouffe;67.61
EMTEN;Sofas & armchairs;        Bath mat,          50x80 cm;10.04
GENEVAD;Sofas & armchairs;        2-seat sofa;694.64
NOCKEBY;Sofas & armchairs;        Cover three-seat sofa;166.13
RÖDEBY;Sofas & armchairs;        Armrest tray;17.77
MELLTORP;Tables & desks;        Table,          125x75 cm;51.25
LJUV;Tables & desks;        Coffee table,          60x52 cm;63.10
LINNMON / ADILS;Tables & desks;        Corner table,          120x120 cm;69.54
GLADOM;Tables & desks;        Tray table,          45x53 cm;15.20
LINDVED;Tables & desks;        Side table,          50x68 cm;21.89
KNARREVIK;Tables & desks;        Bedside table,          37x28 cm;10.04
TÄRENDÖ;Tables & desks;        Table,          110x67 cm;32.19
LINNMON / ALEX;Tables & desks;        Table,          120x60 cm;118.48
KVISTBRO;Tables & desks;        Storage table,          61 cm;50.22
LILLÅSEN;Tables & desks;        Desk,          102x49 cm;160.97
LUBBAN;Tables & desks;        Trolley table with storage;70.83
LINNMON / LERBERG;Tables & desks;        Table,          120x60 cm;45.07
LINNMON / GODVIN;Tables & desks;        Table,          120x60 cm;47.65
GRANBODA;Tables & desks;        Nest of tables, set of 3;75.98
HOL;Tables & desks;        Storage table,          98x50 cm;101.74
BERGENES;Tables & desks;        Holder for mobile phone/tablet;2.32
BURVIK;Tables & desks;        Side table,          38 cm;33.23
TOFTERYD;Tables & desks;        Coffee table,          95x95 cm;204.76
LÖVBACKEN;Tables & desks;        Side table,          77x39 cm;77.01
NYBODA;Tables & desks;        Coffee table w reversible table top,          120x40x40 cm;96.58
NORDEN;Tables & desks;        Gateleg table,          26/89/152x80 cm;231.55
LUNNARP;Tables & desks;        Coffee table,          90x55 cm;66.71
GERTON / ODDVALD;Tables & desks;        Table,          155x75 cm;140.37
MALMSTA;Tables & desks;        Coffee table,          130x80 cm;230.52
ISBERGET;Tables & desks;        Tablet stand,          25x25 cm;2.58
THYGE;Tables & desks;        Desk,          160x80 cm;127.49
LINNMON / LALLE;Tables & desks;        Table,          120x60 cm;99.16
VEJMON;Tables & desks;        Coffee table,          90 cm;122.34
LIERSKOGEN;Tables & desks;        Bedside table,          42x74 cm;57.95
JÄPPLING;Tables & desks;        Nest of tables, set of 3;140.37
INGO;Tables & desks;        Table,          120x75 cm;70.83
LINNMON / HILVER;Tables & desks;        Table,          150x75 cm;199.61
GRUNDSUND;Tables & desks;        Nest of tables, set of 3;88.86
KRAGSTA;Tables & desks;        Coffee table,          90 cm;127.49
MARYD;Tables & desks;        Tray table,          58x38x58 cm;88.86
LINNMON;Tables & desks;        Table top,          100x60 cm;15.20
BRÄDA;Tables & desks;        Laptop support,          42x31 cm;3.86
ADILS;Tables & desks;        Leg;3.86
GUALÖV;Tables & desks;        Storage table,          60 cm;70.83
ANVÄNDBAR;Tables & desks;        Table,          180x98 cm;122.60
LISABO;Tables & desks;        Table,          140x78 cm;179.00
LINNMON / ODDVALD;Tables & desks;        Table,          150x75 cm;65.68
BYLLAN;Tables & desks;        Laptop support;17.77
VIGGJA;Tables & desks;        Tray stand,          37x50x74 cm;25.50
LERBERG;Tables & desks;        Trestle,          70x60 cm;11.59
GERTON;Tables & desks;        Table top,          155x75 cm;101.74
GLASHOLM / ALEX;Tables & desks;        Table,          148x73 cm;248.54
SVALSTA;Tables & desks;        Nest of tables, set of 2;102.77
SUNDSTA;Tables & desks;        Nest of tables, set of 3;88.86
ARKELSTORP;Tables & desks;        Window table,          80x40x75 cm;153.25
FINNVARD;Tables & desks;        Trestle with shelf,          70x71/93 cm;41.21
SETSKOG;Tables & desks;        Bedside table,          45x35 cm;40.95
TINGBY;Tables & desks;        Side table on castors,          64x64 cm;51.25
RYDEBÄCK;Tables & desks;        Table,          150x78 cm;127.49
GAMLARED;Tables & desks;        Table,          85 cm;101.74
KNOTTEN;Tables & desks;        Standing desk;143.20
KLIMPEN / LALLE;Tables & desks;        Table,          120x60 cm;199.61
TRULSTORP;Tables & desks;        Coffee table,          115x70 cm;166.13
BJURSTA;Tables & desks;        Wall-mounted drop-leaf table,          90x50 cm;57.95
ODDVALD;Tables & desks;        Trestle,          70x70 cm;19.32
MÖJLIGHET;Tables & desks;        Headset/tablet stand;3.86
IKEA PS 2017;Tables & desks;        Side table on castors,          69x40 cm;89.24
LINNMON / OLOV;Tables & desks;        Table,          150x75 cm;96.58
OLOV;Tables & desks;        Leg, adjustable;12.88
HILVER;Tables & desks;        Table top,          140x65 cm;88.86
GODVIN;Tables & desks;        Leg;6.44
LINNMON / KRILLE;Tables & desks;        Table,          150x75 cm;104.31
LALLE;Tables & desks;        Leg,          70 cm;19.32
MÖCKELBY;Tables & desks;        Table,          235x100 cm;642.61
FREDDE;Tables & desks;        Desk,          185x74x146 cm;282.03
VANGSTA;Tables & desks;        Extendable table,          120/180x75 cm;140.37
MÖRBYLÅNGA;Tables & desks;        Table,          220x100 cm;642.61
SKARSTA;Tables & desks;        Desk sit/stand,          120x70 cm;257.56
ÖVRARYD;Tables & desks;        Table,          150x78 cm;163.55
TORSKLINT;Tables & desks;        Leg,          70 cm;25.76
VIKHAMMER;Tables & desks;        Bedside table,          60x39 cm;101.74
HILVER / LERBERG;Tables & desks;        Table,          140x65 cm;112.04
GLASHOLM / ODDVALD;Tables & desks;        Table,          148x73 cm;127.49
LINNMON / FINNVARD;Tables & desks;        Table,          150x75 cm;127.49
ÅMLIDEN / KRILLE;Tables & desks;        Table,          120x60 cm;153.25
ALVARET;Tables & desks;        Leg,          70 cm;24.47
SLÄHULT;Tables & desks;        Table,          185x90 cm;158.40
SKOGSTA;Tables & desks;        Dining table,          235x100 cm;513.83
KRILLE;Tables & desks;        Leg with castor,          70 cm;19.32
ÅMLIDEN / OLOV;Tables & desks;        Table,          120x60 cm;127.49
GERTON / TORSKLINT;Tables & desks;        Table,          155x75 cm;204.76
LINNMON / ALVARET;Tables & desks;        Table,          150x75 cm;142.95
LANEBERG;Tables & desks;        Extendable table,          130/190x80 cm;179.00
TORSBY;Tables & desks;        Table,          135x85 cm;230.52
VÄSTANBY;Tables & desks;        Table,          170x78 cm;338.69
IKEA PS 2012;Tables & desks;        Drop-leaf table,          74/106/138x80 cm;230.52
GLASHOLM;Tables & desks;        Table top,          148x73 cm;88.86
VÄSTANÅ;Tables & desks;        Underframe;153.25
ÅMLIDEN;Tables & desks;        Table top,          120x60 cm;75.98
LINNMON / TORSKLINT;Tables & desks;        Table,          100x60 cm;118.22
HILVER / GODVIN;Tables & desks;        Table,          140x65 cm;114.61
ÅMLIDEN / TORSKLINT;Tables & desks;        Table,          120x60 cm;179.00
DALSHULT;Tables & desks;        Underframe;148.10
HILVER / GERTON;Tables & desks;        Table,          140x65 cm;171.28
ÅMLIDEN / ALVARET;Tables & desks;        Table,          120x60 cm;173.85
KLIMPEN / TORSKLINT;Tables & desks;        Table,          150x75 cm;244.68
BACKARYD;Tables & desks;        Underframe;50.22
VESKEN;Trolleys;        Trolley,          54x18x71 cm;10.04
HORNAVAN;Trolleys;        Trolley,          26x48x77 cm;50.22
NISSAFORS;Trolleys;        Trolley,          50.5x30x83 cm;25.50
RÅSHULT;Trolleys;        Trolley,          38x28 cm;32.19
SUNNERSTA;Trolleys;        Trolley,          56x33 cm;32.19
GRUNDTAL;Trolleys;        Trolley,          48x24x77 cm;50.22
RISATORP;Trolleys;        Trolley,          57x39x86 cm;63.10
VADHOLMA;Trolleys;        Kitchen island with rack,          126x79x193 cm;591.10
FÖRHÖJA;Trolleys;        Kitchen trolley,          100x43 cm;166.13
FLYTTA;Trolleys;        Kitchen trolley,          98x57 cm;138.31
TORNVIKEN;Trolleys;        Kitchen island,          126x77 cm;385.05
KUNGSFORS;Trolleys;        Kitchen trolley,          60x40 cm;179.00
RIMFORSA;Trolleys;        Work bench,          120x63.5x92 cm;513.83
STENSTORP;Trolleys;        Kitchen trolley,          45x43x90 cm;204.76
HÖGSMA;Trolleys;        Chopping board,          42x31 cm;12.62
BYÅS;TV & media furniture;        TV bench,          160x42x45 cm;122.60
LAPPLAND;TV & media furniture;        TV storage unit,          183x39x147 cm;179.00
MOSJÖ;TV & media furniture;        TV bench,          90x40x38 cm;45.07
RAKKESTAD;Wardrobes;        Wardrobe with 2 doors,          79x176 cm;88.86
PAX;Wardrobes;        Wardrobe combination,          150x58x201 cm;216.35
PAX / FORSAND/VIKEDAL;Wardrobes;        Wardrobe combination,          150x60x201 cm;307.78
KLEPPSTAD;Wardrobes;        Wardrobe with 3 doors,          117x176 cm;115.64
VUKU;Wardrobes;        Wardrobe,          74x51x149 cm;12.62
PAX / BERGSBO;Wardrobes;        Wardrobe combination,          200x38x236 cm;472.62
PAX / TYSSEDAL;Wardrobes;        Wardrobe combination,          250x60x236 cm;1562.10
SUNDLANDET;Wardrobes;        Open wardrobe,          79x44x187 cm;184.41
PAX / MEHAMN;Wardrobes;        Wardrobe combination,          150x44x236 cm;444.29
PAX / AULI;Wardrobes;        Wardrobe combination,          150x66x236 cm;580.80
PAX / GRIMO/VIKEDAL;Wardrobes;        Corner wardrobe,          210/160x236 cm;1089.48
PAX / VIKEDAL;Wardrobes;        Wardrobe combination,          150x60x236 cm;757.22
PAX / GRIMO;Wardrobes;        Wardrobe combination,          100x60x201 cm;454.59
PAX / HASVIK;Wardrobes;        Wardrobe combination,          200x44x236 cm;770.10
PAX / SEKKEN;Wardrobes;        Wardrobe combination,          150x66x236 cm;580.80
PAX / VINGROM;Wardrobes;        Wardrobe combination,          100x60x236 cm;650.34
PAX / FÄRVIK/AULI;Wardrobes;        Wardrobe combination,          200x44x236 cm;812.60
PAX / MEHAMN/SEKKEN;Wardrobes;        Wardrobe combination,          150x66x236 cm;509.97
PAX / VINTERBRO;Wardrobes;        Wardrobe combination,          200x38x236 cm;1130.69
PAX / FORSAND;Wardrobes;        Wardrobe combination,          100x60x236 cm;540.87
PAX / HOKKSUND;Wardrobes;        Wardrobe combination,          150x66x236 cm;1026.37
PAX / MEHAMN/AULI;Wardrobes;        Wardrobe combination,          200x66x236 cm;526.71
